num,word,M1_1,M1_2,M2_1,M2_2,,,,,,,,,,
1,ANT,1,2,1,3,,,,,,,,,,
2,BAG,1,2,2,3,,,,,,,,,,
3,BALL,1,2,1,2,,,,,,,,,,
4,BANK,1,2,2,3,,,,,,,,,,
5,BAR,1,2,2,3,,,,,,,,,,
6,BARK,1,2,2,3,,,,,,,,,,
7,BASS,2,3,2,3,,,,,,,,,,
8,BLUES,1,2,1,2,,,,,,,,,,
9,BOLT,1,3,1,2,,,,,,,,,,
10,BOW,1,3,1,3,,,,,,,,2,15,15
11,BRAWL,2,3,1,2,,,,,,,,4,10,25
12,BREATH,1,3,1,2,,,,,,,,6,10,35
13,BRIDE,1,3,2,3,,,,,,,,8,10,45
14,BUD,2,3,1,3,,,,,,,,12,10,55
15,BULB,1,3,2,3,,,,,,,,16,8,63
16,CANE,1,2,2,3,,,,,,,,24,8,71
17,CAP,2,3,1,2,,,,,,,,32,7,78
18,CASH,2,3,2,3,,,,,,,,40,7,85
19,CELL,1,3,1,3,,,,,,,,48,5,90
20,CENT,1,2,2,3,,,,,,,,56,5,95
21,CHEST,1,2,1,2,,,,,,,,64,5,100
22,CHICK,2,3,2,3,,,,,,,,,,
23,CHIEF,1,3,2,3,,,,,,,,,,
24,COLT,1,2,2,3,,,,,,,,,,
25,CONE,1,3,1,2,,,,,,,,,,
26,CREST,1,2,2,3,,,,,,,,,,
27,CRIB,1,2,2,3,,,,,,,,,,
28,CROAK,1,2,2,3,,,,,,,,,,
29,DEAF,1,2,1,2,,,,,,,,,,
30,DEER,1,3,1,2,,,,,,,,,,
31,DENSE,2,3,1,3,,,,,,,,,,
32,DEW,2,3,1,3,,,,,,,,,,
33,DILL,1,2,1,2,,,,,,,,,,
34,DIP,2,3,2,3,,,,,,,,,,
35,DOE,2,3,2,3,,,,,,,,,,
36,DOVE,1,3,2,3,,,,,,,,,,
37,EAST,1,2,2,3,,,,,,,,,,
38,FIG,1,3,1,2,,,,,,,,,,
39,FILL,2,3,1,2,,,,,,,,,,
40,FIST,1,2,1,2,,,,,,,,,,
41,FIX,1,3,1,3,,,,,,,,,,
42,FLAG,1,2,1,2,,,,,,,,,,
43,FLAKE,1,3,2,3,,,,,,,,,,
44,FLEA,1,3,1,3,,,,,,,,,,
45,FOE,1,3,2,3,,,,,,,,,,
46,FRAME,2,3,2,3,,,,,,,,,,
47,FROWN,1,2,2,3,,,,,,,,,,
48,FUND,2,3,2,3,,,,,,,,,,
49,GATE,1,3,1,2,,,,,,,,,,
50,GLARE,2,3,2,3,,,,,,,,,,
51,GRASP,1,2,2,3,,,,,,,,,,
52,GRAZE,1,3,2,3,,,,,,,,,,
53,GREEK,2,3,2,3,,,,,,,,,,
54,GRILL,2,3,2,3,,,,,,,,,,
55,GROUND,1,2,2,3,,,,,,,,,,
56,GYM,1,3,1,3,,,,,,,,,,
57,HAIR,1,3,2,3,,,,,,,,,,
58,HALL,2,3,1,3,,,,,,,,,,
59,HALT,1,3,1,2,,,,,,,,,,
60,HAUL,2,3,1,2,,,,,,,,,,
61,HAY,2,3,2,3,,,,,,,,,,
62,HEAL,1,2,1,3,,,,,,,,,,
63,HERD,2,3,1,3,,,,,,,,,,
64,HIVE,1,3,2,3,,,,,,,,,,
65,HOG,1,3,1,3,,,,,,,,,,
66,HOOD,2,3,2,3,,,,,,,,,,
67,HORN,1,3,2,3,,,,,,,,,,
68,HOUND,2,3,1,3,,,,,,,,,,
69,ILL,2,3,2,3,,,,,,,,,,
70,INN,1,3,1,2,,,,,,,,,,
71,JACK,1,2,1,3,,,,,,,,,,
72,JERK,1,2,2,3,,,,,,,,,,
73,JOG,2,3,2,3,,,,,,,,,,
74,JOINT,2,3,1,3,,,,,,,,,,
75,KING,2,3,2,3,,,,,,,,,,
76,LASH,2,3,2,3,,,,,,,,,,
77,LIME,1,3,2,3,,,,,,,,,,
78,LOAF,2,3,2,3,,,,,,,,,,
79,LOAN,2,3,2,3,,,,,,,,,,
80,LOBE,2,3,1,3,,,,,,,,,,
81,LOW,1,3,1,3,,,,,,,,,,
82,MAID,1,2,1,2,,,,,,,,,,
83,MAIL,1,3,2,3,,,,,,,,,,
84,MAIN,1,2,1,2,,,,,,,,,,
85,MARCH,2,3,1,3,,,,,,,,,,
86,MARE,2,3,1,3,,,,,,,,,,
87,MASS,2,3,2,3,,,,,,,,,,
88,MEAT,1,2,2,3,,,,,,,,,,
89,MIST,1,2,2,3,,,,,,,,,,
90,MOLD,2,3,2,3,,,,,,,,,,
91,MOLE,1,3,1,2,,,,,,,,,,
